d_km,epsilon,invariant_residual
2.6,0.52,0.7702760448054816
2.6,0.53,0.7715754888518553
2.6,0.54,0.7729357291255095
2.6,0.55,0.7743591421577414
2.6,0.56,0.7758482926404366
2.6,0.5700000000000001,0.7774059525338165
2.6,0.5800000000000001,0.7790351225803753
2.6,0.59,0.7807390565853616
2.6,0.6,0.7825212888872076
2.6,0.61,0.7843856655170842
2.6,0.62,0.7863363796381303
2.6,0.63,0.7883780119655487
2.6,0.64,0.7905155770032718
2.6,0.65,0.7927545760971921
2.6,0.66,0.7951010585065076
2.6,0.67,0.797561691943195
2.6,0.68,0.8001438443374913
2.6,0.6900000000000001,0.8028556789707105
2.6,0.7000000000000001,0.8057062655970334
2.6,0.7100000000000001,0.8087057107810478
2.6,0.72,0.8118653114449618
2.6,0.73,0.8151977365983822
2.6,0.74,0.8187172434813773
2.6,0.75,0.8224399359797205
2.6,0.76,0.8263840752951327
2.6,0.77,0.8305704556470916
2.6,0.78,0.8350228614902361
2.6,0.79,0.839768627698069
2.6,0.8,0.8448393308850747
2.6,0.81,0.8502716492348649
2.6,0.8200000000000001,0.8561084409307848
2.6,0.8300000000000001,0.8624001091298718
2.6,0.8400000000000001,0.8692063467835002
2.6,0.85,0.8765983911996024
2.6,0.86,0.8846619719046992
2.6,0.87,0.8935012154914351
2.6,0.88,0.9032438931770597
2.6,0.89,0.9140485868125916
2.6,0.9,0.9261146523011489
2.6,0.91,0.9396963568324624
2.6,0.92,0.9551234084682793
2.6,0.93,0.9728315744447661
2.6,0.9400000000000001,0.9934097882229986
2.6,0.9500000000000001,1.0176753391566307
2.6,0.9600000000000001,1.0467993138773706
2.6,0.97,1.0825275672284222
2.6,0.98,1.1275976377753305
2.6,0.99,1.1865993123449572
2.8,0.01,0.7461645785975871
2.8,0.02,0.7455961360424261
2.8,0.03,0.7450566591736167
2.8,0.04,0.7445461985078946
2.8,0.05,0.7440648177600591
2.8,0.060000000000000005,0.7436125939021659
2.8,0.06999999999999999,0.7431896172556076
2.8,0.08,0.7427959916166361
2.8,0.09,0.7424318344160595
2.8,0.09999999999999999,0.742097276914003
2.8,0.11,0.7417924644308259
2.8,0.12,0.7415175566154699
2.8,0.13,0.7412727277527201
2.8,0.14,0.7410581671110736
2.8,0.15000000000000002,0.7408740793331515
2.8,0.16,0.7407206848708285
2.8,0.17,0.7405982204675265
2.8,0.18000000000000002,0.7405069396904103
2.8,0.19,0.7404471135155359
2.8,0.2,0.7404190309693474
2.8,0.21000000000000002,0.7404229998302944
2.8,0.22,0.7404593473947448
2.8,0.23,0.7405284213118423
2.8,0.24000000000000002,0.7406305904924231
2.8,0.25,0.7407662460976935
2.8,0.26,0.7409358026139484
2.8,0.27,0.7411396990203064
2.8,0.28,0.7413784000571783
2.8,0.29000000000000004,0.7416523976040273
2.8,0.3,0.741962212175905
2.8,0.31,0.7423083945492956
2.8,0.32,0.7426915275289648
2.8,0.33,0.7431122278688134
2.8,0.34,0.74357114836121
2.8,0.35000000000000003,0.744068980110932
2.8,0.36000000000000004,0.7446064550116948
2.8,0.37,0.7451843484453694
2.8,0.38,0.7458034822263605
2.8,0.39,0.7464647278163145
2.8,0.4,0.7471690098373978
2.8,0.41000000000000003,0.7479173099158668
2.8,0.42000000000000004,0.7487106708916221
2.8,0.43,0.7495502014339943
2.8,0.44,0.7504370811091795
2.8,0.45,0.751372565950732
2.8,0.46,0.7523579945913431
2.8,0.47000000000000003,0.7533947950220509
2.8,0.48000000000000004,0.754484492054119
2.8,0.49,0.7556287155693882
2.8,0.5,0.7568292096571229
2.8,0.51,0.7580878427496196
2.8,0.52,0.7594066188854423
2.8,0.53,0.7607876902485523
2.8,0.54,0.7622333711543692
2.8,0.55,0.7637461536805522
2.8,0.56,0.7653287251718742
2.8,0.5700000000000001,0.7669839878858985
2.8,0.5800000000000001,0.7687150810905207
2.8,0.59,0.7705254059772336
2.8,0.6,0.7724186538170867
2.8,0.61,0.7743988378620267
2.8,0.62,0.7764703295854506
2.8,0.63,0.7786378999659913
2.8,0.64,0.7809067666523313
2.8,0.65,0.783282648009878
2.8,0.66,0.7857718252498401
2.8,0.67,0.7883812140869292
2.8,0.68,0.7911184476757392
2.8,0.6900000000000001,0.7939919729534877
2.8,0.7000000000000001,0.7970111629887899
2.8,0.7100000000000001,0.800186448529451
2.8,0.72,0.8035294726926219
2.8,0.73,0.807053273695805
2.8,0.74,0.8107725017512147
2.8,0.75,0.8147036778260284
2.8,0.76,0.8188655040261751
2.8,0.77,0.8232792380563073
2.8,0.78,0.8279691477733708
2.8,0.79,0.8329630666104416
2.8,0.8,0.8382930770646506
2.8,0.81,0.8439963581885239
2.8,0.8200000000000001,0.8501162450799823
2.8,0.8300000000000001,0.856703565193179
2.8,0.8400000000000001,0.8638183400958706
2.8,0.85,0.8715319754675575
2.8,0.86,0.8799301119689666
2.8,0.87,0.8891163835864174
2.8,0.88,0.8992174419959846
2.8,0.89,0.9103897785571542
2.8,0.9,0.9228291495791946
2.8,0.91,0.9367838562158992
2.8,0.92,0.9525738776592159
2.8,0.93,0.9706191535757462
2.8,0.9400000000000001,0.9914826557992048
2.8,0.9500000000000001,1.0159383280639651
