wavenumber_ratio_r,upper_mode_fraction_cutoff_u,min_jacobian_determinant,min_singular_value,max_condition_number
1.1074600257927485,0.3508695652173913,0.0045854981892535,0.0338196361483319,4.009116389296582
1.1074600257927485,0.365072463768116,0.0048841364086144,0.034915074246309,4.006469537614379
1.1074600257927485,0.3792753623188406,0.005201402818505,0.0359999623113152,4.013436504090767
1.1074600257927485,0.3934782608695652,0.0055392733737627,0.0370755673558976,4.029741498091908
1.1074600257927485,0.4076811594202899,0.0058999579298733,0.0381431831151442,4.05522587374174
1.1074600257927485,0.4218840579710145,0.0062859351277529,0.0392041345816305,4.089838434377932
1.1074600257927485,0.4360869565217391,0.0066999933943143,0.0402597830099506,4.133629185412261
1.1074600257927485,0.4502898550724638,0.0071452792813622,0.041311531446688,4.186746043834388
1.1074600257927485,0.4644927536231884,0.0076253546777558,0.0423608308779792,4.249434201696654
1.1074600257927485,0.4786956521739131,0.0081442648070831,0.043409187073495,4.322037994567733
1.1074600257927485,0.4928985507246377,0.0087066193711725,0.0444581682387388,4.405005234289351
1.1074600257927485,0.5071014492753623,0.009317689834011,0.0455094136014587,4.498894101144718
1.1074600257927485,0.521304347826087,0.0099835265332947,0.046564643076567,4.604382766256539
1.1074600257927485,0.5355072463768116,0.0107111004477405,0.0476256681891746,4.722282109777945
1.1074600257927485,0.5497101449275362,0.0115084756062753,0.0486944044597406,4.853551968181339
1.1074600257927485,0.5639130434782609,0.0123850199563657,0.0497728855040863,4.999321570491112
1.1074600257927485,0.5781159420289855,0.013351664724042,0.0508632791467557,5.160915006881097
1.1074600257927485,0.5923188405797102,0.0144212253948134,0.0519679059037866,5.339882870150587
1.1074600257927485,0.6065217391304348,0.0156088014626926,0.0530892602798235,5.538041531653396
1.1074600257927485,0.6207246376811595,0.0169322778511059,0.0542300354000103,5.757522059092471
1.1074600257927485,0.634927536231884,0.0184129583109638,0.0553931516380018,6.000831319118137
1.1074600257927485,0.6491304347826087,0.0200763719652115,0.0565817900333924,6.270928772688915
1.1074600257927485,0.6633333333333333,0.0219533089481142,0.0577994314928758,6.57132362208033
1.1074600257927485,0.677536231884058,0.0240811622986157,0.0590499030084539,6.906198669735001
1.1074600257927485,0.6917391304347826,0.0265056836188324,0.0603374324421587,7.2805696117484064
1.1074600257927485,0.7059420289855073,0.0292833044992891,0.061666713837293,7.7004919591043395
1.1074600257927485,0.7201449275362319,0.0324842411852737,0.0630429857415087,8.17333274123804
1.1074600257927485,0.7343478260869566,0.0361966989382235,0.0644721257413712,8.708131648892104
1.1074600257927485,0.7485507246376812,0.0405326435810141,0.0659607653433583,9.316087470457562
1.1074600257927485,0.7627536231884058,0.0456358440996437,0.0675164306041428,10.01122308633012
1.1074600257927485,0.7769565217391304,0.0516932672544534,0.0691477156353191,10.811309687992445
1.1074600257927485,0.7911594202898551,0.0589515211100876,0.0708644984924032,11.73917507475174
1.1074600257927485,0.8053623188405797,0.0677410797370751,0.0726782122559359,12.82459451975424
1.1074600257927485,0.8195652173913044,0.0785128107246348,0.0746021888308034,14.10708832361535
1.1074600257927485,0.833768115942029,0.0918945327161018,0.0766520996976904,15.640173343387968
1.1074600257927485,0.8479710144927537,0.1087812941970441,0.0788465277058384,17.49802677428835
1.1074600257927485,0.8621739130434782,0.1304846786014733,0.0812077185928698,19.786314168038057
1.1074600257927485,0.8763768115942029,0.1589902773783618,0.0837625830590886,22.66054985988473
1.1074600257927485,0.8905797101449275,0.1974245697174268,0.0865440545122332,26.35886615531555
1.1074600257927485,0.9047826086956522,0.2509553107873,0.0895929619708277,31.26429221983407
1.1074600257927485,0.9189855072463768,0.3286680112752799,0.0929606662828184,38.03285970054646
1.1074600257927485,0.9331884057971016,0.4478928884357963,0.0967128567541584,47.88568926952158
1.1074600257927485,0.947391304347826,0.645662394643418,0.1009351644557621,63.37536922849112
1.1074600257927485,0.9615942028985508,1.0158824638374724,0.1057417175951029,90.8553995482054
1.1074600257927485,0.9757971014492756,1.878226547723262,0.1112886537535974,151.6513207923506
1.1074600257927485,0.99,5.390248674784174,0.1177963840654595,388.4587271455322
1.143884192026711,0.01,0.00017236741923,0.0015947717009546,67.77322281449733
1.143884192026711,0.0242028985507246,0.0004171925025955,0.0038139270309579,28.680831338052613
1.143884192026711,0.0384057971014492,0.0006624824382689,0.0059808453719417,18.520351345963935
1.143884192026711,0.0526086956521739,0.0009087523802406,0.0080972869996896,13.860104224837537
1.143884192026711,0.0668115942028985,0.0011565381223909,0.0101649807262993,11.1930085046976
1.143884192026711,0.0810144927536231,0.0014063986307386,0.0121856255895855,9.471369391895356
1.143884192026711,0.0952173913043478,0.0016589189934009,0.0141608922558193,8.272636515739757
1.143884192026711,0.1094202898550724,0.0019147136103505,0.0160924247203338,7.393683434056596
1.143884192026711,0.1236231884057971,0.0021744297929436,0.0179818417636947,6.724763982623041
1.143884192026711,0.1378260869565217,0.0024387516356257,0.0198307386152505,6.201400689599163
1.143884192026711,0.1520289855072464,0.0027084044519424,0.0216406885582563,5.783242044993769
1.143884192026711,0.166231884057971,0.0029841595957216,0.0234132446343049,5.443758370255592
1.143884192026711,0.1804347826086956,0.0032668399407827,0.0251499413612697,5.16480468995451
1.143884192026711,0.1946376811594203,0.0035573259220002,0.0268522965275388,4.93356424779035
1.143884192026711,0.2088405797101449,0.0038565623698948,0.0285218130320854,4.740739611710103
1.143884192026711,0.2230434782608695,0.0041655661755066,0.0301599808047107,4.579435185035602
1.143884192026711,0.2372463768115942,0.00448543489883,0.031768278811837,4.444441421527108
1.143884192026711,0.2514492753623188,0.0048173565285907,0.0333481771403934,4.331762026337734
